exam_type,year,subject,section,topic,question_number,question_text,option_A,option_B,option_C,option_D,correct_answer,theory_answer_guide,marks_allocated,difficulty_level,explanation
WAEC,2020,Mathematics,Objective,Trigonometry,1,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,2,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,3,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,4,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,5,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,6,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,7,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,8,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,9,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Objective,Trigonometry,10,Find x if 3x + 2 = 11,2,3,4,5,B,,1,Moderate,3x + 2 = 11 → x = 3
WAEC,2020,Mathematics,Theory,Trigonometry,1,Solve for x in 2x² + 5x - 3 = 0.,,,,,,x = 0.5 or x = -3,16,Hard,Use quadratic formula: (-b ± √b² - 4ac)/2a
WAEC,2020,Mathematics,Theory,Trigonometry,2,Solve for x in 2x² + 5x - 3 = 0.,,,,,,x = 0.5 or x = -3,10,Hard,Use quadratic formula: (-b ± √b² - 4ac)/2a
WAEC,2020,Mathematics,Theory,Trigonometry,3,Solve for x in 2x² + 5x - 3 = 0.,,,,,,x = 0.5 or x = -3,18,Hard,Use quadratic formula: (-b ± √b² - 4ac)/2a
WAEC,2020,Mathematics,Theory,Trigonometry,4,Solve for x in 2x² + 5x - 3 = 0.,,,,,,x = 0.5 or x = -3,16,Hard,Use quadratic formula: (-b ± √b² - 4ac)/2a
WAEC,2020,Mathematics,Theory,Trigonometry,5,Solve for x in 2x² + 5x - 3 = 0.,,,,,,x = 0.5 or x = -3,11,Hard,Use quadratic formula: (-b ± √b² - 4ac)/2a
WAEC,2020,English,Objective,Vocabulary,1,Choose the correct word: He ____ to school.,go,goes,gone,going,B,,1,Moderate,‘He’ takes singular verb ‘goes’.
WAEC,2020,English,Objective,Vocabulary,2,Choose the correct word: He ____ to school.,go,goes,gone,going,B,,1,Moderate,‘He’ takes singular verb ‘goes’.
WAEC,2020,English,Objective,Vocabulary,3,Choose the correct word: He ____ to school.,go,goes,gone,going,B,,1,Moderate,‘He’ takes singular verb ‘goes’.
WAEC,2020,English,Objective,Vocabulary,4,Choose the correct word: He ____ to school.,go,goes,gone,going,B,,1,Moderate,‘He’ takes singular verb ‘goes’.
